id,q_entrance,q_exit,loss,optimal,is_source
195,0.558824579,0.440089532,0.118735047,0.558824579,0
196,0,0,0,0,0
230,2.456588223,1.694908566,0.761679656,2.456588223,0
231,3.171976609,2.29652966,0.875446949,3.171976609,0
226,3.746597888,4.223914765,-0.477316877,3.746597888,0
227,1.761900668,0.404211063,1.357689605,1.761900668,0
218,0.015993059,0.015993059,0,0.015993059,0
219,0.314951546,0.647905345,-0.332953798,0.314951546,0
239,0.171743218,0.536246994,-0.364503776,0.171743218,0
242,0.548297424,11.55518594,-11.00688851,0.548297424,0
181,5.011963426,2.901647918,2.110315507,5.011963426,0
182,1.236853896,1.236853896,0,1.236853896,0
268,0.909405696,3.994263205,-3.084857508,0.909405696,0
240,2.189101464,0.399883384,1.78921808,2.189101464,0
241,0.869209734,0.755167151,0.114042582,0.869209734,0
228,0,0.256713974,-0.256713974,0,0
229,0,0,0,0,0
245,0.068778225,0.005570931,0.063207294,0.068778225,0
246,0.345124645,0.250147453,0.094977192,0.345124645,0
243,1.37866266,2.928255333,-1.549592674,1.37866266,0
244,0.303707939,0.022696014,0.281011925,0.303707939,0
247,1.776184887,1.774470538,0.001714349,1.776184887,0
248,3.830531725,3.145751913,0.684779812,3.830531725,0
235,1.643797361,1.876117975,-0.232320614,1.643797361,0
236,2.261526471,2.808648017,-0.547121546,2.261526471,0
279,3.142894098,2.959131957,0.183762141,3.142894098,0
280,1.405960184,1.221616206,0.184343978,1.405960184,0
274,0.018580591,0.006704086,0.011876504,0.018580591,0
275,0.98033554,0.246859778,0.733475762,0.98033554,0
237,0,0,0,0,0
238,0,0,0,0,0
256,0.125362636,0.006834072,0.118528563,0.125362636,0
257,0.083723843,0.021120623,0.06260322,0.083723843,0
262,0.983609174,0.970965436,0.012643738,0.983609174,0
263,0,0,0,0,0
271,3.71613304,2.815003352,0.901129688,3.71613304,0
272,7.856987138,7.856987138,0,7.856987138,0
253,0,0,0,0,0
254,0,0.007265993,-0.007265993,0,0
255,1.921375211,1.651412749,0.269962462,1.921375211,0
284,0.592669906,0.346784261,0.245885645,0.592669906,0
285,2.486521591,2.314924206,0.171597385,2.486521591,0
294,1.06005202,1.473339385,-0.413287366,1.06005202,0
295,0.141682227,0.141682227,0,0.141682227,0
296,0.186020327,0.052851104,0.133169223,0.186020327,0
277,0.82080201,0.982158602,-0.161356592,0.82080201,0
278,0.022051248,0.000777048,0.021274199,0.022051248,0
249,0,0,0,0,0
250,0,0,0,0,0
258,0.015392945,0.0029905,0.012402445,0.015392945,0
259,0.004295329,0.002774438,0.001520891,0.004295329,0
264,2.433197781,2.693645326,-0.260447545,2.433197781,0
265,0,0,0,0,0
273,5.084629398,6.5797019,-1.495072502,5.084629398,0
276,16.26437048,4.491081187,11.77328929,16.26437048,0
260,4.136891925,3.257403036,0.879488888,4.136891925,0
261,2.313121332,2.166081772,0.14703956,2.313121332,0
288,0.10061411,0.000471353,0.100142757,0.10061411,0
289,0.241153836,0.002601444,0.238552393,0.241153836,0
290,1.936838625,2.003457371,-0.066618746,1.936838625,0
291,0.132196532,0.198709161,-0.066512629,0.132196532,0
297,1.623207417,1.623207417,2.22E-16,1.623207417,0
298,3.460325985,2.850735203,0.609590782,3.460325985,0
286,0.132883805,0.01607835,0.116805454,0.132883805,0
287,0.794869873,0.900664851,-0.105794978,0.794869873,0
281,0,0.129051605,-0.129051605,0,0
282,6.970911324,14.8113895,-7.840478171,6.970911324,0
283,4.27002276,0.020579356,4.249443404,4.27002276,0
266,1.109586056,0.254036158,0.855549898,1.109586056,0
267,2.628370545,3.092500372,-0.464129827,2.628370545,0
300,0,0,0,0,0
